c_custkey,c_name,c_address,c_nationkey,c_phone,c_acctbal,c_mktsegment,c_comment
30001,Customer#000030001,"Ui1b,3Q71CiLTJn4MbVp,,YCZARIaNTelfst",4,14-526-204-4500,8848.47,MACHINERY,frays wake blithely enticingly ironic asymptote
30002,Customer#000030002,UVBoMtILkQu1J3v,11,21-340-653-9800,5221.81,MACHINERY,he slyly ironic pinto beans wake slyly above the fluffily careful warthogs. even dependenci
30003,Customer#000030003,CuGi9fwKn8JdR,21,31-757-493-7525,3014.89,BUILDING,e furiously alongside of the requests. evenly even theodolites are quickly blithely i
30004,Customer#000030004,tkR93ReOnf9zYeO,23,33-870-136-4375,3308.55,AUTOMOBILE,ssly bold deposits. final req
30005,Customer#000030005,pvq4uDoD8pEwpAE01aesCtbD9WU8qmlsvoFav5,9,19-144-468-5416,-278.54,MACHINERY,ructions behind the pinto beans x-ra
30006,Customer#000030006,"eFynZc,XeoKmPMZ",18,28-754-658-5648,2427.85,HOUSEHOLD, haggle after the furiously regular dependencies. blithely final requests haggle fin
30007,Customer#000030007,"H,Q8PvzCrZor",5,15-383-236-6110,3912.67,FURNITURE," nod fluffily final requests. regular, unusual acc"
30008,Customer#000030008,ZCVPLnDjfo9r8Hr0eeoyXxWY6gr9sMUDiKmNTH7,5,15-325-560-7160,248.26,MACHINERY,carefully final requests detect carefully. quickly silent theodolites inside the special accounts kindle c
30009,Customer#000030009,"aEeWtUSm2IyKH46TiP1X,C8c1ygVHpa2aSwV",12,22-682-831-9594,1471.93,FURNITURE,ly bold packages about the slyly even pinto beans are fluffily theodolites. carefully bold foxes sol
30010,Customer#000030010,m1XDhjp3FlJQBxmEFxujEp3rQj82,21,31-529-816-9872,8599.71,BUILDING,. accounts cajole after the slyly ironic foxes. fluffy instructions kindle about the asymptotes.
30011,Customer#000030011,Y5Mj4Jrg1zies2v3iC1Vh2NNYRULMyFkzxV4,1,11-808-821-2617,4442.02,HOUSEHOLD,"g furiously even, ironic theodolites. slyly final deposits sleep carefully. furiously express "
30012,Customer#000030012,"8Vz0kDLOlvolAboX,eU9 RRhljgMr4oOHzoJiB",3,13-153-555-8557,9027.69,HOUSEHOLD,lithely: carefully silent packages use instr
30013,Customer#000030013,wePhjLpaFGyyK,4,14-929-544-3265,3438.09,MACHINERY,ntiments. even excuses haggle furiously acco
30014,Customer#000030014,"nP,zOdCccNjC84xPG4N4dGbHU",24,34-560-171-5542,-970.23,HOUSEHOLD,olites sleep quickly furiously silent accounts. regular deposits cajole carefully
30015,Customer#000030015,"NHK3MxsmzeGTorApF7 WRZaoaBAUGh9,",5,15-539-412-8164,4313.60,FURNITURE,y special packages are carefully
30016,Customer#000030016,C80TttLhGt,6,16-852-787-4898,6670.55,FURNITURE,s nag. slyly even deposits are about the foxes. furiously unusual instructions wake across the furiously reg
30017,Customer#000030017,"LRHokNtsGy1Rd0,hWxOhBeh",14,24-660-534-8547,8992.52,FURNITURE,"eposits boost ironic, ironic pinto beans. blithely"
30018,Customer#000030018,VFF3VapEVoW0cchDy2Cnewfcd0hi,19,29-756-975-6107,6290.52,HOUSEHOLD,"ns. slyly sly theodolites sleep blithely express, close depos"
30019,Customer#000030019,akRHE3t G0WX5NMOc1UpB,17,27-531-858-4679,1848.59,MACHINERY, bold deposits use carefully slyly ironic theodolites. express requests along the quickly expres
30020,Customer#000030020,QDInz WWhDiVlhZ86VgXVjs8XrsK,17,27-884-421-1645,3144.52,MACHINERY,"ronic packages haggle carefully ironic, express theodolites. ironic requests with the frays are never"
30021,Customer#000030021,"WONK6wlv8MI 4tH2V,r",12,22-733-756-7500,3903.31,AUTOMOBILE,"ages! regular, final theodolites above the bold instructions sleep fluffily even platelets. blithely special "
30022,Customer#000030022,QqTEVm9dvcr3dQm0jXRIv,2,12-164-342-6882,7868.05,HOUSEHOLD,ecial accounts are slyly even theodolites. furiously express deposits affix carefully across
